Trade#,Date,Symbol,Strategy,Leg#,Action,Strike,Type,PositionEffect,Quantity,Price,PlaidID,Match,Fees
1,2025-10-15,AVGO,"AVGO Call Credit Spread",1,sell,375,call,open,1,10.68,inv_1761116098052_stnkqu9jm,YES,0.0000
1,2025-10-15,AVGO,"AVGO Call Credit Spread",2,buy,380,call,open,1,9.23,inv_1761116098214_sstn0gini,YES,0.0000
2,2025-10-07,MU,"MU Put Credit Spread",1,sell,182.5,put,close,1,3.21,inv_1761116099071_3ymewn99g,YES,0.0000
2,2025-10-07,MU,"MU Put Credit Spread",2,buy,185,put,close,1,3.95,inv_1761116099243_ok6cre193,YES,0.0000
3,2025-10-23,LRCX,"LRCX Put Credit Spread",1,sell,141,put,close,1,2.31,inv_1761508182043_b8vro5kq9,YES,0.0000
3,2025-10-23,LRCX,"LRCX Put Credit Spread",2,buy,144,put,close,1,3.26,inv_1761508181500_v5xjwxlhj,YES,0.0000
4,2025-10-07,AMD,"AMD Put Credit Spread",1,sell,185,put,close,1,4.59,inv_1761116099580_v8wf2qf9a,YES,0.0000
4,2025-10-07,AMD,"AMD Put Credit Spread",2,buy,190,put,close,1,6.01,inv_1761116099415_knndu7djh,YES,0.0000
5,2025-10-06,LRCX,"LRCX Put Credit Spread",1,buy,141,put,open,1,4.3,inv_1761116100274_71ruskd9c,YES,0.0000
5,2025-10-06,LRCX,"LRCX Put Credit Spread",2,sell,144,put,open,1,5.35,inv_1761116100089_xsgp0wxyu,YES,0.0000
6,2025-10-06,MU,"MU Put Credit Spread",1,buy,182.5,put,open,1,4.25,inv_1761116100616_8cxzkeyky,YES,0.0000
6,2025-10-06,MU,"MU Put Credit Spread",2,sell,185,put,open,1,5.15,inv_1761116100446_dclvn1snn,YES,0.0000
7,2025-10-06,AMD,"AMD Put Credit Spread",1,buy,185,put,open,1,7.2,inv_1761116099914_zeh6lbxlx,YES,0.0000
7,2025-10-06,AMD,"AMD Put Credit Spread",2,sell,190,put,open,1,9,inv_1761116099744_ed0gkdbgn,YES,0.0000
8,2025-10-01,NKE,"NKE Put Credit Spread",1,sell,66,put,close,2,0.39,inv_1761116101280_yme9ufvtl,YES,0.0000
8,2025-10-01,NKE,"NKE Put Credit Spread",2,buy,67,put,close,2,0.53,inv_1761116101117_uyupp4ryh,YES,0.0000
9,2025-10-01,WDC,"WDC Put Credit Spread",1,sell,104,put,close,1,1.78,inv_1761116101614_dnrqqc8ws,YES,0.0000
9,2025-10-01,WDC,"WDC Put Credit Spread",2,buy,110,put,close,1,3.13,inv_1761116101447_xa8w9m4sh,YES,0.0000
10,2025-09-29,WDC,"WDC Put Credit Spread",1,buy,104,put,open,1,2.72,inv_1761116102283_h1r6z62bi,YES,0.0000
10,2025-09-29,WDC,"WDC Put Credit Spread",2,sell,110,put,open,1,4.22,inv_1761116102117_o39w1wjbv,YES,0.0000
11,2025-09-29,NKE,"NKE Put Credit Spread",1,buy,66,put,open,2,1.67,inv_1761116101950_z00yp0a7g,YES,0.0000
11,2025-09-29,NKE,"NKE Put Credit Spread",2,sell,67,put,open,2,2.03,inv_1761116101779_z6wtrvyav,YES,0.0000
12,2025-10-02,INTC,"INTC Put Credit Spread",1,sell,32,put,close,4,0.78,inv_1761116100951_ws75mzki4,YES,0.0000
12,2025-10-02,INTC,"INTC Put Credit Spread",2,buy,33,put,close,4,1.09,inv_1761116100786_cg42o11ts,YES,0.0000
13,2025-09-26,INTC,"INTC Put Credit Spread",1,buy,32,put,open,4,1.1,inv_1761116103317_lyiqm9zd8,YES,0.0000
13,2025-09-26,INTC,"INTC Put Credit Spread",2,sell,33,put,open,4,1.45,inv_1761116103144_m8okb8n6m,YES,0.0000
14,2025-09-26,INTC,"JPM Call Credit Spread",1,sell,30,put,close,3,0.37,inv_1761116102635_v4up3518w,YES,0.0000
14,2025-09-26,INTC,"JPM Call Credit Spread",2,buy,31.5,put,close,3,0.75,inv_1761116102472_4t3sf56j3,YES,0.0000
15,2025-09-25,INTC,"INTC Put Credit Spread",1,buy,30,put,open,3,0.64,inv_1761116105029_gg36npsxy,YES,0.0000
15,2025-09-25,INTC,"INTC Put Credit Spread",2,sell,31.5,put,open,3,1.1,inv_1761116104832_3fh2teayg,YES,0.0000
16,2025-09-26,INTC,"INTC Put Credit Spread",1,sell,30,put,close,3,0.62,inv_1761116102975_hliduhnnu,YES,0.0000
16,2025-09-26,INTC,"INTC Put Credit Spread",2,buy,31,put,close,3,0.89,inv_1761116102802_i7w3mugks,YES,0.0000
17,2025-09-25,INTC,"INTC Put Credit Spread",1,buy,30,put,open,3,0.9,inv_1761116104492_8ngpajpdp,YES,0.0000
17,2025-09-25,INTC,"INTC Put Credit Spread",2,sell,31,put,open,3,1.22,inv_1761116104666_if3dott14,YES,0.0000
18,2025-09-25,INTC,"INTC Put Credit Spread",1,sell,27.5,put,close,3,0.49,inv_1761116104327_maxouluvy,YES,0.0000
18,2025-09-25,INTC,"INTC Put Credit Spread",2,buy,28.5,put,close,3,0.72,inv_1761116104162_pgg38lku5,YES,0.0000
19,2025-09-24,INTC,"INTC Put Credit Spread",1,buy,27.5,put,open,3,0.62,inv_1761116106368_fpop29b24,YES,0.0000
19,2025-09-24,INTC,"INTC Put Credit Spread",2,sell,28.5,put,open,3,0.88,inv_1761116106200_h237i13lp,YES,0.0000
20,2025-09-24,INTC,"INTC Put Credit Spread",1,sell,27.5,put,close,3,0.53,inv_1761116105863_v6c9hj3xu,YES,0.0000
20,2025-09-24,INTC,"INTC Put Credit Spread",2,buy,28.5,put,close,3,0.8,inv_1761116106031_zgykrrj23,YES,0.0000
21,2025-09-24,INTC,"INTC Put Credit Spread",1,buy,27.5,put,open,3,0.63,inv_1761116105694_51wv41rym,YES,0.0000
21,2025-09-24,INTC,"INTC Put Credit Spread",2,sell,28.5,put,open,3,0.93,inv_1761116105526_cevnxbt96,YES,0.0000
22,2025-09-24,INTC,"INTC Put Credit Spread",1,sell,28.5,put,close,4,0.065,inv_1761116105195_ojv0bekt7,YES,0.0000
22,2025-09-24,INTC,"INTC Put Credit Spread",2,buy,29,put,close,4,0.12,inv_1761116105361_hlfcfeoi9,YES,0.0000
23,2025-09-23,INTC,"INTC Put Credit Spread",1,sell,25.5,put,close,1,0.49,inv_1761116106703_ij3i96ksg,YES,0.0000
23,2025-09-23,INTC,"INTC Put Credit Spread",2,buy,26.5,put,close,1,0.76,inv_1761116106536_daii43ude,YES,0.0000
24,2025-09-22,INTC,"INTC Put Credit Spread",1,buy,25.5,put,open,1,0.63,inv_1761116107379_brmm3vrrw,YES,0.0000
24,2025-09-22,INTC,"INTC Put Credit Spread",2,sell,26.5,put,open,1,0.93,inv_1761116107210_r99j1xku7,YES,0.0000
25,2025-09-23,INTC,"INTC Put Credit Spread",1,sell,28.5,put,close,1,0.17,inv_1761116106870_q2whwd546,YES,0.0000
25,2025-09-23,INTC,"INTC Put Credit Spread",2,buy,29,put,close,1,0.28,inv_1761116107043_yqcbf4liw,YES,0.0000
26,2025-09-18,INTC,"INTC Put Credit Spread",1,buy,28.5,put,open,5,0.39,inv_1761116107730_thy1itel3,YES,0.0000
26,2025-09-18,INTC,"INTC Put Credit Spread",2,sell,29,put,open,5,0.51,inv_1761116107563_q4g1id90k,YES,0.0000
27,2025-09-17,TSLA,"TSLA Put Credit Spread",1,sell,387.5,put,close,1,6.66,inv_1761116108073_omqf5v4c8,YES,0.0000
27,2025-09-17,TSLA,"TSLA Put Credit Spread",2,buy,392.5,put,close,1,7.88,inv_1761116107904_i2qckp7ds,YES,0.0000
28,2025-09-16,TSLA,"TSLA Put Credit Spread",1,buy,387.5,put,open,1,7.6,inv_1761116108751_g0ixyt8p1,YES,0.0000
28,2025-09-16,TSLA,"TSLA Put Credit Spread",2,sell,392.5,put,open,1,8.95,inv_1761116108583_ug88xifbz,YES,0.0000
29,2025-09-16,TSLA,"CAT Call Credit Spread",1,sell,370,put,close,1,12.13,inv_1761116108412_mfabziq3z,YES,0.0000
29,2025-09-16,TSLA,"CAT Call Credit Spread",2,buy,375,put,close,1,13.66,inv_1761116108242_y4lb1g7wa,YES,0.0000
30,2025-09-15,CAT,"CAT Call Credit Spread",1,sell,445,call,open,1,14.1,inv_1761116110113_g1jynat92,YES,0.0000
30,2025-09-15,CAT,"CAT Call Credit Spread",2,buy,450,call,open,1,12.1,inv_1761116109939_fbelqa8h1,YES,0.0000
31,2025-09-15,TSLA,"TSLA Put Credit Spread",1,buy,370,put,open,1,14.81,inv_1761116109768_0v87usobr,YES,0.0000
31,2025-09-15,TSLA,"TSLA Put Credit Spread",2,sell,375,put,open,1,16.51,inv_1761116109602_ygdvsxn4i,YES,0.0000
32,2025-09-15,LIN,"LIN Call Credit Spread",1,buy,500,call,close,1,3.5,inv_1761116109262_gu490yjwk,YES,0.0000
32,2025-09-15,LIN,"LIN Call Credit Spread",2,sell,505,call,close,1,2.53,inv_1761116109434_z27n5fc3i,YES,0.0000
33,2025-09-15,TSLA,"TSLA Put Credit Spread",1,sell,355,put,close,1,3.13,inv_1761116109087_8kl1ijjfq,YES,0.0000
33,2025-09-15,TSLA,"TSLA Put Credit Spread",2,buy,360,put,close,1,3.7,inv_1761116108914_fvw2pw7v2,YES,0.0000
34,2025-09-12,LIN,"TSLA Put Credit Spread",1,sell,500,call,open,1,3.98,inv_1761116110623_t2w7q0epc,YES,0.0000
34,2025-09-12,LIN,"TSLA Put Credit Spread",2,buy,505,call,open,1,2.85,inv_1761116110792_uycrnqb3n,YES,0.0000
35,2025-09-12,TSLA,"TSLA Put Credit Spread",1,buy,355,put,open,1,6.12,inv_1761116110454_y4vl6vf9r,YES,0.0000
35,2025-09-12,TSLA,"TSLA Put Credit Spread",2,sell,360,put,open,1,7.28,inv_1761116110286_13un2k8j9,YES,0.0000
36,2025-09-10,TSLA,"TSLA Put Credit Spread",1,sell,335,put,close,1,15.84,inv_1761116111130_xanffaz22,YES,0.0000
36,2025-09-10,TSLA,"TSLA Put Credit Spread",2,buy,340,put,close,1,17.92,inv_1761116110961_odtnhmgqs,YES,0.0000
37,2025-09-09,AAPL,"TSLA Put Credit Spread",1,buy,237.5,call,close,1,3.51,inv_1761116111302_okdz4ea8n,YES,0.0000
37,2025-09-09,AAPL,"TSLA Put Credit Spread",2,sell,240,call,close,1,2.53,inv_1761116111472_ee4ll92ni,YES,0.0000
38,2025-09-08,TSLA,"TSLA Put Credit Spread",1,buy,335,put,open,1,19.9,inv_1761116112816_o3n6lhnpt,YES,0.0000
38,2025-09-08,TSLA,"TSLA Put Credit Spread",2,sell,340,put,open,1,22.2,inv_1761116112647_4tfnyj5vs,YES,0.0000
39,2025-09-08,AAPL,"AAPL Call Credit Spread",1,sell,237.5,call,open,1,4.66,inv_1761116112312_8hnlff0po,YES,0.0000
39,2025-09-08,AAPL,"AAPL Call Credit Spread",2,buy,240,call,open,1,3.47,inv_1761116112477_5fl4i0iz6,YES,0.0000
40,2025-09-08,AMD,"AMD Call Credit Spread",1,sell,152.5,call,open,1,7.09,inv_1761116111981_363yjj850,YES,0.0000
40,2025-09-08,AMD,"AMD Call Credit Spread",2,buy,155,call,open,1,5.96,inv_1761116112146_47marq9gn,YES,0.0000
41,2025-09-08,JPM,"JPM Call Credit Spread",1,sell,297.5,call,open,1,3.68,inv_1761116111642_40ikepo7h,YES,0.0000
41,2025-09-08,JPM,"JPM Call Credit Spread",2,buy,300,call,open,1,2.77,inv_1761116111811_p7xep9ab8,YES,0.0000
42,2025-09-05,TSLA,"TSLA Put Credit Spread",1,sell,340,put,close,1,16.17,inv_1761116115304_77jg0k4lx,YES,0.0000
42,2025-09-05,TSLA,"TSLA Put Credit Spread",2,buy,345,put,close,1,18.42,inv_1761116115133_n9hw3k5k3,YES,0.0000
43,2025-09-05,JPM,"TSLA Put Credit Spread",1,buy,300,call,close,1,5.34,inv_1761116113658_0knnrc78q,YES,0.0000
43,2025-09-05,JPM,"TSLA Put Credit Spread",2,sell,305,call,close,1,3.36,inv_1761116113831_3do20ftws,YES,0.0000
44,2025-09-05,MSFT,"MSFT Call Credit Spread",1,buy,505,call,close,1,10.48,inv_1761116113320_4bzb20eq8,YES,0.0000
44,2025-09-05,MSFT,"MSFT Call Credit Spread",2,sell,510,call,close,1,8.18,inv_1761116113485_s9fhr79l4,YES,0.0000
45,2025-09-02,MSFT,"MSFT Call Credit Spread",1,sell,505,call,open,1,13.27,inv_1761116116477_oifelnuqb,YES,0.0000
45,2025-09-02,MSFT,"MSFT Call Credit Spread",2,buy,510,call,open,1,10.72,inv_1761116116647_y09hp9gwh,YES,0.0000
46,2025-09-05,UNH,"UNH Put Credit Spread",1,sell,300,put,close,1,7.6,inv_1761116112985_76bhqkg5s,YES,0.0000
46,2025-09-05,UNH,"UNH Put Credit Spread",2,buy,305,put,close,1,9.5,inv_1761116113156_eo3kq4653,YES,0.0000
47,2025-09-02,UNH,"UNH Put Credit Spread",1,buy,300,put,open,1,9.75,inv_1761116116306_kkka045u9,YES,0.0000
47,2025-09-02,UNH,"UNH Put Credit Spread",2,sell,305,put,open,1,11.85,inv_1761116116141_kwoau2tfi,YES,0.0000
48,2025-09-02,AMZN,"TSLA Put Credit Spread",1,buy,230,call,close,1,6,inv_1761116115471_cxsqff4xy,YES,0.0000
48,2025-09-02,AMZN,"TSLA Put Credit Spread",2,sell,235,call,close,1,3.91,inv_1761116115640_ju4ruer7e,YES,0.0000
49,2025-09-02,UNH,"JPM Call Credit Spread",1,sell,302.5,put,close,1,6.27,inv_1761116115972_j470efvhi,YES,0.0000
49,2025-09-02,UNH,"JPM Call Credit Spread",2,buy,305,put,close,1,7.27,inv_1761116115806_7nnvq4k4m,YES,0.0000
50,2025-08-27,AMZN,"UNH Put Credit Spread",1,sell,230,call,open,1,8.42,inv_1761116118176_qpjqfhgz5,YES,0.0000
50,2025-08-27,AMZN,"UNH Put Credit Spread",2,buy,235,call,open,1,6.07,inv_1761116118346_8wmdtrbqm,YES,0.0000
51,2025-08-27,TSLA,"TSLA Put Credit Spread",1,buy,340,put,open,1,19.12,inv_1761116118008_bb83u264r,YES,0.0000
51,2025-08-27,TSLA,"TSLA Put Credit Spread",2,sell,345,put,open,1,21.44,inv_1761116117842_ek5bg970n,YES,0.0000
52,2025-08-27,WMT,"UNH Put Credit Spread",1,sell,97.5,call,open,1,2.14,inv_1761116117502_sf6iqo0bf,YES,0.0000
52,2025-08-27,WMT,"UNH Put Credit Spread",2,buy,100,call,open,1,1.26,inv_1761116117670_vaor1nhwe,YES,0.0000
53,2025-08-26,UNH,"JPM Call Credit Spread",1,buy,302.5,put,open,1,8.68,inv_1761116119686_gpmpzi5iq,YES,0.0000
53,2025-08-26,UNH,"JPM Call Credit Spread",2,sell,305,put,open,1,9.78,inv_1761116119518_9ud8uvybv,YES,0.0000
54,2025-08-26,AMZN,"JPM Call Credit Spread",1,buy,230,call,close,1,4.82,inv_1761116119349_viohsfqm3,YES,0.0000
54,2025-08-26,AMZN,"JPM Call Credit Spread",2,sell,232.5,call,close,1,3.72,inv_1761116119178_y4mq45625,YES,0.0000
55,2025-08-26,JPM,"JPM Call Credit Spread",1,sell,300,call,open,1,6.75,inv_1761116118848_ws7dbyaew,YES,0.0000
55,2025-08-26,JPM,"JPM Call Credit Spread",2,buy,305,call,open,1,4.65,inv_1761116119012_wp1d18sdl,YES,0.0000
56,2025-08-26,TSLA,"TSLA Put Credit Spread",1,sell,342.5,put,close,2,9.99,inv_1761116120029_n6ezoq2oy,YES,0.0000
56,2025-08-26,TSLA,"TSLA Put Credit Spread",2,buy,345,put,close,2,11.11,inv_1761116119857_5us8j35vw,YES,0.0000
57,2025-08-26,JPM,"AMZN Call Credit Spread",1,buy,300,call,close,1,4.03,inv_1761116118678_m9c8d7p4i,YES,0.0000
57,2025-08-26,JPM,"AMZN Call Credit Spread",2,sell,302.5,call,close,1,3.1,inv_1761116118510_i0ypt7uxm,YES,0.0000
58,2025-08-25,JPM,"JPM Call Credit Spread",1,sell,300,call,open,1,4.6,inv_1761116120914_rl2knq1le,YES,0.0000
58,2025-08-25,JPM,"JPM Call Credit Spread",2,buy,302.5,call,open,1,3.6,inv_1761116121105_k3se4iem6,YES,0.0000
59,2025-08-25,TSLA,"TSLA Put Credit Spread",1,buy,342.5,put,open,2,11.35,inv_1761116120742_zfwsm9bcq,YES,0.0000
59,2025-08-25,TSLA,"TSLA Put Credit Spread",2,sell,345,put,open,2,12.5,inv_1761116120572_g2w6ecb8i,YES,0.0000
60,2025-08-25,GOOGL,"AMZN Call Credit Spread",1,sell,202.5,put,close,1,1.5,inv_1761116120237_0vs7d8cie,YES,0.0000
60,2025-08-25,GOOGL,"AMZN Call Credit Spread",2,buy,205,put,close,1,2.25,inv_1761116120404_e4g4d90a2,YES,0.0000
61,2025-08-22,AMZN,"GOOGL Put Credit Spread",1,sell,230,call,open,1,5.75,inv_1761116122319_deob2sl4l,YES,0.0000
61,2025-08-22,AMZN,"GOOGL Put Credit Spread",2,buy,232.5,call,open,1,4.6,inv_1761116122488_zhm3f3xpl,YES,0.0000
62,2025-08-22,GOOGL,"GOOGL Put Credit Spread",1,buy,202.5,put,open,1,2.43,inv_1761116122145_uj0l4o2q7,YES,0.0000
62,2025-08-22,GOOGL,"GOOGL Put Credit Spread",2,sell,205,put,open,1,3.38,inv_1761116121976_7mx5ebw02,YES,0.0000
63,2025-08-22,GE,"GE Call Credit Spread",1,buy,275,call,close,1,5.6,inv_1761116121807_qe9rnyrto,YES,0.0000
63,2025-08-22,GE,"GE Call Credit Spread",2,sell,280,call,close,1,3.92,inv_1761116121620_8jmxcxlep,YES,0.0000
64,2025-08-22,GOOGL,"GE Call Credit Spread",1,sell,195,put,close,1,2.43,inv_1761116121447_nb6175d2p,YES,0.0000
64,2025-08-22,GOOGL,"GE Call Credit Spread",2,buy,200,put,close,1,3.95,inv_1761116121277_z813nk131,YES,0.0000
65,2025-08-21,GOOGL,"GOOGL Put Credit Spread",1,buy,195,put,open,1,3.96,inv_1761116122997_hj8btru88,YES,0.0000
65,2025-08-21,GOOGL,"GOOGL Put Credit Spread",2,sell,200,put,open,1,6,inv_1761116123160_0zvvrix17,YES,0.0000
66,2025-08-21,JPM,"GOOGL Put Credit Spread",1,buy,297.5,call,close,1,2.68,inv_1761116122657_8f31y3gt0,YES,0.0000
66,2025-08-21,JPM,"GOOGL Put Credit Spread",2,sell,300,call,close,1,1.88,inv_1761116122826_ytga8strn,YES,0.0000
67,2025-08-20,GE,"GE Call Credit Spread",1,sell,275,call,open,1,6.05,inv_1761116123997_7f9445amw,YES,0.0000
67,2025-08-20,GE,"GE Call Credit Spread",2,buy,280,call,open,1,4.35,inv_1761116124160_wxsrmlrpo,YES,0.0000
68,2025-08-20,JPM,"JPM Call Credit Spread",1,sell,297.5,call,open,1,3.09,inv_1761116123829_b969wk90h,YES,0.0000
68,2025-08-20,JPM,"JPM Call Credit Spread",2,buy,300,call,open,1,2.24,inv_1761116123656_7jvw0b9l7,YES,0.0000
69,2025-08-20,TSLA,"JPM Call Credit Spread",1,buy,385,call,close,1,2.13,inv_1761116123326_ie2okg1wi,YES,0.0000
69,2025-08-20,TSLA,"JPM Call Credit Spread",2,sell,390,call,close,1,1.83,inv_1761116123491_co40hhs90,YES,0.0000
70,2025-08-19,TSLA,"XOM Call Credit Spread",1,sell,385,call,open,1,3.45,inv_1761116125332_f7hhohjjs,YES,0.0000
70,2025-08-19,TSLA,"XOM Call Credit Spread",2,buy,390,call,open,1,3,inv_1761116125500_zi2qux4xn,YES,0.0000
71,2025-08-19,AMZN,"AMZN Call Credit Spread",1,buy,240,call,close,1,0.56,inv_1761116125166_ur7ud9ohb,YES,0.0000
71,2025-08-19,AMZN,"AMZN Call Credit Spread",2,sell,242.5,call,close,1,0.34,inv_1761116124992_p7n5chhl9,YES,0.0000
72,2025-08-19,NVDA,"NVDA Call Credit Spread",1,buy,187.5,call,close,1,0.23,inv_1761116124660_cag4py4kz,YES,0.0000
72,2025-08-19,NVDA,"NVDA Call Credit Spread",2,sell,190,call,close,1,0.1,inv_1761116124826_zii4sfdeg,YES,0.0000
73,2025-08-19,PLTR,"PLTR Call Credit Spread",1,buy,182.5,call,close,1,0.18,inv_1761116124495_h2judgi8y,YES,0.0000
73,2025-08-19,PLTR,"PLTR Call Credit Spread",2,sell,185,call,close,1,0.12,inv_1761116124326_ry7w1daen,YES,0.0000
74,2025-08-18,AMZN,"AMZN Call Credit Spread",1,sell,240,call,open,1,1.01,inv_1761116126683_2qru21ylr,YES,0.0000
74,2025-08-18,AMZN,"AMZN Call Credit Spread",2,buy,242.5,call,open,1,0.64,inv_1761116126864_6hlb2kkky,YES,0.0000
75,2025-08-18,PLTR,"PLTR Call Credit Spread",1,sell,182.5,call,open,1,0.81,inv_1761116126345_bp435jgcy,YES,0.0000
75,2025-08-18,PLTR,"PLTR Call Credit Spread",2,buy,185,call,open,1,0.5,inv_1761116126515_4zse7ur9e,YES,0.0000
76,2025-08-18,XOM,"XOM Call Credit Spread",1,sell,110,call,open,3,0.44,inv_1761116126006_7teocjttr,YES,0.0000
76,2025-08-18,XOM,"XOM Call Credit Spread",2,buy,111,call,open,3,0.29,inv_1761116126177_e6p8epmr2,YES,0.0000
77,2025-08-18,NVDA,"NVDA Call Credit Spread",1,sell,187.5,call,open,1,0.73,inv_1761116125837_gdd1g2f1u,YES,0.0000
77,2025-08-18,NVDA,"NVDA Call Credit Spread",2,buy,190,call,open,1,0.35,inv_1761116125669_9gy6xvdkz,YES,0.0000
78,2025-08-15,ENPH,"ENPH Put Credit Spread",1,sell,30,put,close,1,0.59,inv_1761116128075_yf7pak47g,YES,0.0000
78,2025-08-15,ENPH,"ENPH Put Credit Spread",2,buy,32,put,close,1,1.06,inv_1761116128239_10d6ueafs,YES,0.0000
79,2025-08-15,ENPH,"ENPH Put Credit Spread",1,sell,30,put,close,1,0.79,inv_1761116127910_m3mgvnn2y,YES,0.0000
79,2025-08-15,ENPH,"ENPH Put Credit Spread",2,buy,32,put,close,1,1.26,inv_1761116127739_39bokjcxx,YES,0.0000
80,2025-08-15,TSLA,"TSLA Call Credit Spread",1,buy,330,call,close,1,0.98,inv_1761116127378_phrecsctw,YES,0.0000
80,2025-08-15,TSLA,"TSLA Call Credit Spread",2,sell,335,call,close,1,0.19,inv_1761116127568_zknrvwaqi,YES,0.0000
81,2025-08-15,PLTR,"PLTR Call Credit Spread",1,buy,180,call,close,1,0.54,inv_1761116127210_rf6uqkejl,YES,0.0000
81,2025-08-15,PLTR,"PLTR Call Credit Spread",2,sell,185,call,close,1,0.05,inv_1761116127038_9uu668xjy,YES,0.0000
82,2025-08-07,XOM,"XOM Call Credit Spread",1,buy,112,call,close,1,0.4,inv_1761116129233_6gi05nn52,YES,0.0000
82,2025-08-07,XOM,"XOM Call Credit Spread",2,sell,113,call,close,1,0.28,inv_1761116129070_glqcxpvax,YES,0.0000
83,2025-08-05,PLTR,"PLTR Call Credit Spread",1,sell,180,call,open,1,2.83,inv_1761116130404_7xg1i1nyi,YES,0.0000
83,2025-08-05,PLTR,"PLTR Call Credit Spread",2,buy,185,call,open,1,1.66,inv_1761116130568_yesfoa823,YES,0.0000
84,2025-08-05,TSLA,"TSLA Call Credit Spread",1,sell,330,call,open,1,3.08,inv_1761116130073_8nz1v08sx,YES,0.0000
84,2025-08-05,TSLA,"TSLA Call Credit Spread",2,buy,335,call,open,1,2.23,inv_1761116130240_arrho89mk,YES,0.0000
85,2025-08-05,XOM,"XOM Call Credit Spread",1,sell,112,call,open,1,0.54,inv_1761116130733_0hyt83fjm,YES,0.0000
85,2025-08-05,XOM,"XOM Call Credit Spread",2,buy,113,call,open,1,0.41,inv_1761116130901_0cy6iqnec,YES,0.0000
86,2025-08-05,TSLA,"ENPH Call Credit Spread",1,buy,327.5,call,close,1,0.63,inv_1761116129734_5ue9z0bop,YES,0.0000
86,2025-08-05,TSLA,"ENPH Call Credit Spread",2,sell,330,call,close,1,0.47,inv_1761116129899_5mabelk5p,YES,0.0000
87,2025-08-05,PLTR,"PLTR Call Credit Spread",1,buy,187.5,call,close,1,0.4,inv_1761116129399_lc7zw3mgl,YES,0.0000
87,2025-08-05,PLTR,"PLTR Call Credit Spread",2,sell,190,call,close,1,0.26,inv_1761116129568_ldzpy2fb1,YES,0.0000
88,2025-08-04,PLTR,"PLTR Call Credit Spread",1,sell,187.5,call,open,1,1.38,inv_1761116131411_2q0sqie0j,YES,0.0000
88,2025-08-04,PLTR,"PLTR Call Credit Spread",2,buy,190,call,open,1,1.15,inv_1761116131578_4kmcmde20,YES,0.0000
89,2025-08-04,TSLA,"TSLA Call Credit Spread",1,sell,327.5,call,open,1,1.01,inv_1761116131073_l6m4ur3zq,YES,0.0000
89,2025-08-04,TSLA,"TSLA Call Credit Spread",2,buy,330,call,open,1,0.79,inv_1761116131244_r0fri7mh9,YES,0.0000
90,2025-08-01,PLTR,"PLTR Call Credit Spread",1,buy,185,call,close,1,1.26,inv_1761116131745_015gbni67,YES,0.0000
90,2025-08-01,PLTR,"PLTR Call Credit Spread",2,sell,190,call,close,1,0.86,inv_1761116131912_sq3djs0vh,YES,0.0000
91,2025-07-30,AMZN,"AMZN Call Credit Spread",1,sell,247.5,call,open,1,0.82,inv_1761116134540_v12g0r8jz,YES,0.0000
91,2025-07-30,AMZN,"AMZN Call Credit Spread",2,buy,250,call,open,1,0.54,inv_1761116134711_wpg9y4j80,YES,0.0000
92,2025-07-30,PLTR,"PLTR Call Credit Spread",1,sell,185,call,open,1,1.54,inv_1761116134374_475986eme,YES,0.0000
92,2025-07-30,PLTR,"PLTR Call Credit Spread",2,buy,190,call,open,1,1.04,inv_1761116134202_3py7owm9w,YES,0.0000
93,2025-07-30,AMZN,"AMZN Call Credit Spread",1,buy,247.5,call,close,1,0.79,inv_1761116134029_fwj43k7mq,YES,0.0000
93,2025-07-30,AMZN,"AMZN Call Credit Spread",2,sell,250,call,close,1,0.5,inv_1761116133859_477h4pkf7,YES,0.0000
